FASTA_NAME	Gs(U)_NO_ALA_N2	Gs(U)_NO_AHR_N2	Gs(U)_NO_AHR_Ar	Gs(U)_NO_AHR_K	Gs(U)_NO_AHR_SI50	Gs(U)_NO_PRT_N2	Gs(U)_NO_PRT_Ar	Gs(U)_NO_PRT_K	Gs(U)_NO_PRT_SI50	Mw_NO_ALA_N2	Mw_NO_AHR_N2	Mw_NO_AHR_Ar	Mw_NO_AHR_K	Mw_NO_AHR_SI50	Mw_NO_PRT_N2	Mw_NO_PRT_Ar	Mw_NO_PRT_K	Mw_NO_PRT_SI50
seq0	-9999	8,689.98	-246.65	22,709.96	0.29	13,072.36	-222.16	98,161.63	0.41	-9999	1,754.39	122.86	18,857.25	0.30	2,717.13	116.76	94,668.80	0.38
seq1	1,189.32	7,255.12	-92.25	9,004.12	0.36	10,552.63	-92.73	146,432.14	0.41	454.62	1,468.71	111.04	14,813.44	0.30	2,524.26	106.02	118,219.05	0.39
seq2	1,189.32	7,179.84	-153.18	10,738.73	0.33	9,344.85	-132.39	44,382.44	0.45	454.62	1,482.98	112.63	14,572.79	0.30	2,054.85	104.60	53,848.45	0.42
seq3	1,034.16	7,252.88	-99.65	8,667.92	0.34	10,356.50	-69.67	63,937.05	0.43	395.31	1,424.70	112.61	13,548.22	0.27	2,208.21	105.78	67,185.12	0.40
seq4	1,462.52	8,197.62	-33.47	12,978.54	0.31	11,765.73	-81.69	95,336.41	0.44	559.05	1,630.43	108.15	22,183.80	0.26	2,565.40	112.36	71,729.01	0.40
seq5	851.17	7,873.42	-209.86	12,883.65	0.36	11,543.63	-171.65	71,241.32	0.45	325.36	1,538.16	116.66	17,319.43	0.29	2,402.72	113.74	68,904.52	0.41
seq6	1,217.98	9,280.53	-170.25	26,019.91	0.33	13,511.99	-108.74	175,243.70	0.42	465.58	1,859.92	115.58	38,546.27	0.27	2,942.37	110.63	162,709.34	0.39
seq7	871.20	7,604.01	-142.28	9,772.41	0.35	10,537.82	-149.80	63,984.51	0.46	333.02	1,463.67	116.21	15,018.65	0.28	2,310.56	113.06	47,470.27	0.42
seq8	1,462.52	8,657.86	-132.04	17,491.03	0.31	12,134.11	-133.47	74,593.32	0.43	559.05	1,676.60	109.52	25,801.36	0.23	2,455.72	110.36	92,753.34	0.38
seq9	321.71	3,811.33	-229.67	695.00	0.41	4,966.12	-137.44	2,035.02	0.61	122.98	707.72	120.21	974.37	0.32	1,015.54	116.35	1,515.17	0.54
seq10	1,067.00	8,900.32	-89.20	17,262.89	0.34	13,218.87	-88.45	166,222.07	0.43	407.86	1,745.99	115.61	29,045.89	0.29	2,826.74	109.69	152,475.50	0.39
seq11	1,742.40	10,086.31	5.21	28,553.99	0.30	15,202.38	-95.25	280,531.90	0.40	666.04	2,034.13	108.81	52,353.84	0.27	3,298.80	111.53	229,449.83	0.38
seq12	694.98	4,757.31	-72.57	1,723.86	0.41	7,295.73	-95.76	9,396.16	0.54	265.66	952.14	112.33	2,690.11	0.37	1,487.84	115.24	9,066.96	0.49
